trial_id,channel,packet_loss_rate,latency_s,success,makespan_s,intimate_exposure_ticks,mesh_packets,replans
29,loss10_lat200ms,0.1,0.2,1,66.85,0,56,442
30,loss10_lat200ms,0.1,0.2,1,66.5,0,60,562
1,loss20_lat000ms,0.2,0.0,1,42.2,0,63,457
2,loss20_lat000ms,0.2,0.0,1,38.05,0,54,460
3,loss20_lat000ms,0.2,0.0,1,42.2,0,50,485
4,loss20_lat000ms,0.2,0.0,1,74.9,0,44,670
5,loss20_lat000ms,0.2,0.0,1,21.15,0,49,335
6,loss20_lat000ms,0.2,0.0,1,46.9,0,37,495
7,loss20_lat000ms,0.2,0.0,1,21.3,0,62,355
8,loss20_lat000ms,0.2,0.0,1,36.85,0,51,389
9,loss20_lat000ms,0.2,0.0,1,28.0,0,73,479
10,loss20_lat000ms,0.2,0.0,1,47.05,0,45,430
11,loss20_lat000ms,0.2,0.0,1,21.2,0,45,381
12,loss20_lat000ms,0.2,0.0,1,44.05,0,43,536
13,loss20_lat000ms,0.2,0.0,1,47.05,0,41,512
14,loss20_lat000ms,0.2,0.0,1,40.2,0,51,488
15,loss20_lat000ms,0.2,0.0,1,47.5,0,41,352
16,loss20_lat000ms,0.2,0.0,1,42.85,0,35,460
17,loss20_lat000ms,0.2,0.0,1,42.2,0,61,352
18,loss20_lat000ms,0.2,0.0,1,42.2,0,35,382
19,loss20_lat000ms,0.2,0.0,1,69.65,0,35,472
20,loss20_lat000ms,0.2,0.0,1,51.4,0,45,391
21,loss20_lat000ms,0.2,0.0,1,30.55,0,40,470
22,loss20_lat000ms,0.2,0.0,1,56.85,0,49,447
23,loss20_lat000ms,0.2,0.0,1,42.2,0,43,326
24,loss20_lat000ms,0.2,0.0,1,40.65,47,79,501
25,loss20_lat000ms,0.2,0.0,1,37.8,0,41,397
26,loss20_lat000ms,0.2,0.0,1,34.85,0,42,432
27,loss20_lat000ms,0.2,0.0,1,42.4,0,47,366
28,loss20_lat000ms,0.2,0.0,1,42.4,0,39,343
29,loss20_lat000ms,0.2,0.0,1,66.85,0,52,439
30,loss20_lat000ms,0.2,0.0,1,66.5,0,45,557
1,loss20_lat050ms,0.2,0.05,1,42.2,0,63,456
2,loss20_lat050ms,0.2,0.05,1,44.35,0,53,411
3,loss20_lat050ms,0.2,0.05,1,42.2,0,54,486
4,loss20_lat050ms,0.2,0.05,1,74.9,0,45,671
5,loss20_lat050ms,0.2,0.05,1,21.15,0,52,336
6,loss20_lat050ms,0.2,0.05,1,86.05,0,50,678
7,loss20_lat050ms,0.2,0.05,1,21.3,0,52,352
8,loss20_lat050ms,0.2,0.05,1,42.2,0,52,370
9,loss20_lat050ms,0.2,0.05,1,23.35,0,62,421
10,loss20_lat050ms,0.2,0.05,1,47.05,0,43,428
11,loss20_lat050ms,0.2,0.05,1,21.2,0,41,383
12,loss20_lat050ms,0.2,0.05,1,37.85,0,50,539
13,loss20_lat050ms,0.2,0.05,1,63.7,0,44,607
14,loss20_lat050ms,0.2,0.05,1,40.2,0,56,488
15,loss20_lat050ms,0.2,0.05,1,44.35,0,45,356
16,loss20_lat050ms,0.2,0.05,1,42.85,0,35,458
17,loss20_lat050ms,0.2,0.05,1,42.2,0,57,351
18,loss20_lat050ms,0.2,0.05,1,42.2,0,34,381
19,loss20_lat050ms,0.2,0.05,1,70.15,0,46,480
20,loss20_lat050ms,0.2,0.05,1,51.4,0,43,394
21,loss20_lat050ms,0.2,0.05,1,30.55,0,44,470
22,loss20_lat050ms,0.2,0.05,1,56.85,0,55,448
23,loss20_lat050ms,0.2,0.05,1,42.2,0,43,327
24,loss20_lat050ms,0.2,0.05,1,40.65,47,74,501
25,loss20_lat050ms,0.2,0.05,1,42.8,0,41,326
26,loss20_lat050ms,0.2,0.05,1,34.85,0,39,429
27,loss20_lat050ms,0.2,0.05,1,42.4,0,47,367
28,loss20_lat050ms,0.2,0.05,1,37.4,0,46,467
29,loss20_lat050ms,0.2,0.05,1,66.85,0,40,439
30,loss20_lat050ms,0.2,0.05,1,66.5,0,45,556
1,loss20_lat100ms,0.2,0.1,1,42.2,0,63,457
2,loss20_lat100ms,0.2,0.1,1,44.5,0,53,408
3,loss20_lat100ms,0.2,0.1,1,42.2,0,54,485
4,loss20_lat100ms,0.2,0.1,1,74.9,0,45,669
5,loss20_lat100ms,0.2,0.1,1,21.15,0,52,337
6,loss20_lat100ms,0.2,0.1,1,86.05,0,50,680
7,loss20_lat100ms,0.2,0.1,1,21.3,0,52,351
8,loss20_lat100ms,0.2,0.1,1,42.2,0,52,370
9,loss20_lat100ms,0.2,0.1,1,23.35,0,62,419
